10  8   8   8
0 0 0 0 0 0 0 0 0 0 
0 3ee26f9b 3ea87513 3eb152f9 3e6b30c9 3f0d869f 3e720e33 3ef6d156 3f2aa5b4 0 
0 3f0945ec 3e5e1e2d 3e92be7d 3f49c7ca 3f39432b 3f6bbce7 3e5e0162 3effd298 0 
0 3e058029 3f79d4c3 3eee9045 3f79eff9 3e527191 3e100cff 3eb94a11 3f602975 0 
0 3f62826a 3f214e72 3d413f0d 3f0b6eae 3f74699f 3ec8365f 3f542908 3f3e244a 0 
0 3f2fbb16 3f3caa81 3e80bf86 3f461ee8 3f79e85e 3f483956 3eff4997 3f4ac191 0 
0 3f4ad2d0 3f731964 3f578174 3f169139 3f43c01a 3ebc9496 3f5a183c 3f60bdb4 0 
0 3f5246fe 3e5c6d49 3eac1928 3f1aab5b 3ec4ecb3 3f4a8173 3ed36923 3eb30827 0 
0 3e8e74da 3f7c5e70 3e8deebb 3e2cf364 3f3315e2 3e578558 3e0be79d 3f54e0a0 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 3e9fa4ab 3f02f6ed 3f785ab4 3f10daea 3f29db16 3eacb1bf 3f71b398 3e19853d 0 
0 3f35f49d 3e47e656 3eaa8029 3ec95677 3f6ac91b 3f2b88a1 3f62caf9 3ebaf737 0 
0 3e9b70ad 3e59462e 3db68875 3ca13fb8 3d97f8c6 3f0a1647 3e7d6995 3ebe6402 0 
0 3dc8946c 3f7c2f5d 3f7135d3 3e8d0f75 3f644db1 3e6c9a0e 3f7c47d9 3f751d70 0 
0 3f338128 3ecbaae3 3ec33f1b 3e2a2ff9 3f79f36c 3f2f4e31 3e85399f 3f0d75d6 0 
0 3f2ae11b 3f34b5a3 3f604e8f 3ee91672 3f202f63 3e2a1532 3e80b32a 3f1023ed 0 
0 3f076bb1 3dbf45aa 3e1d9a48 3d64daee 3e88702e 3ef7ec40 3eae0bfa 3f7479b9 0 
0 3f7b1edf 3f37777f 3f0c5744 3f1fc46d 3f027a41 3f5a83e0 3f19ff79 3cc847c2 0 
0 0 0 0 0 0 0 0 0 0 

3f4e81bd 3db807ea 3f1d1226 
3f2eff87 3f5df212 3ee19f7d 
3c9ad6ec 3f510562 3ed2a50e 

3df959d0 3f0867da 3f5546fb 
3f03da58 3dfad1f0 3f567cc3 
3f26dd91 3d9a6e37 3f1b589d 

3dd712f6 3f192ae8 3f30b91e 
3f1e18b7 3ebf362f 3f36b3c9 
3d6b6e58 3e9aa19f 3f26bfdd 

3f28a17a 3df9fcdb 3f00319f 
3f0c6145 3f594f4f 3e9033de 
3f056e7c 3e27c996 3f3573ce 

3f7b010e 3ebae947 3e37d83b 
3e1b99de 3f59f6df 3f0f0871 
3ec7fe01 3c749aa7 3e4979f0 

3f695314 3f536142 3f2a3c01 
3f09ea68 3d94348e 3df5a3a7 
3f38b8d1 3f04c10b 3f1e54f1 

3f73f42d 3f632fcc 3e502ccd 
3f66c9b6 3f3c51e6 3f1e8c60 
3f1d3f07 3cb9a5bb 3eb8ea89 

3e609c0c 3f2d2d9c 3cfc7e5f 
3f3044dd 3f2d30c7 3f79f00c 
3f5596ee 3f5c0e9a 3ee9e1b4 

3ee73c35 3dd7329b 3e9af1ec 
3f4e8049 3ec00cab 3d84a3da 
3f3f3f98 3f4e3b27 3eb4b6e6 

3f509b87 3dc68ba1 3f644db0 
3f242bab 3f0b905e 3d268953 
3c2e1602 3ee2d04c 3ebc865b 

3f8719d4 3f85cdff 3f982a06 3fd0277c 3fdccfe0 3fd333d2 3fa2fa31 3fa8e5b9 
3fd0c565 401ded1d 3ffec948 40096a4f 4029bcbd 4032b4df 40089bd5 400b805e 
3fd24296 4031b531 40167645 3ffcf594 402658fb 401ecd02 402fcc6f 3fe924c2 
3fbd1d7c 3ff96700 401b109e 400d328a 3ff354c7 40136584 3fdf53f8 3fca8027 
3f902753 3ffd8b14 3f6c2452 3f99156e 3fce8d60 3f8d09a2 3fcd0f64 3fa17142 

3f12bff6 3f9219f8 3f786ea2 3fd3ca5c 3fc895bf 4003584d 3fb7e7e4 3fac8ea5 
3f760eb0 400b110d 40020441 400ec72e 4002188a 40295bc1 4019ccbe 3fee0109 
3fb64b1e 40189878 400d44e6 402aed83 401c8cd5 405d6d1d 404d5128 401e83dd 
3f903650 3fd92123 3fbff238 3fdf8f4d 3fdd3a82 4020dd62 400e6157 3fcdb568 
3fcefdce 4057c06b 40576f51 40513a4d 4008e7e4 403d5cc8 402da95e 4015e851 
3fa77e64 4010c835 3fbbe79d 40013639 400ce52f 402a51e6 401fdea5 3fce17ce 
4001680e 40602aaa 403b3569 402f9c9f 4019175f 4011b114 4004e2d9 3fb24db6 
3f27e4da 3fa761d4 3f3ffe7f 3f43e724 3f88c289 3fa37d06 3fee830f 3fb64c49 

3f220069 3fe8e68b 3fe5bb1f 400fc5f2 3fdb0fea 40151684 3fd3d71a 3fc1c719 
3f8dd255 400a6586 40111dd9 403343c5 40365bbd 4048e74e 404925d9 4010abe1 
3fb10c8e 3fe9bb1c 3fc73af5 3ff3484a 400043f6 404b2cf3 403a1700 4012af64 
3f93bee8 401e0f29 401668a8 401400c9 3fce811e 40392a8f 403d8a48 40152e3e 
3fa8e306 4043ffd9 404c372b 404acfd8 402fcdce 4051df29 403017c7 402635f7 
3fd6aa1f 40494896 40194ad0 401a7afc 401695d0 402ebf62 401511fc 3fce0731 
3fbb61a8 40397e7b 401cfbaf 400fbef8 40116e59 4009b103 40148548 40079128 
3fd3b2ba 4017a2e8 3fd61f13 3fc27b9c 3fed5c2f 400d9d4f 400bcdac 3fdda964 

3fb48d04 401aefd8 400c252e 402eefe4 4025c7e8 4056925c 40204da1 3fe6fbdb 
3fa0c59d 3fef0591 3fe5668e 400871c3 401d24d8 403f6f3c 403de5eb 3fd888ca 
3fb77ee3 400630fb 4010dd6e 3ff8ef31 401adcb3 402edcbd 4048bf2f 40208c84 
40018fa8 403df0f0 401b6078 4029797d 40185a78 40692de8 4046bbd7 4014c047 
3fed83f9 4059ed26 4046cbfe 404a0c47 4046e8da 40234cb0 4022ed57 400713e7 
4007fbb2 40346dd1 4006fffb 4002fa77 400749b5 40112559 4013d47e 4005b8b1 
4005f2d9 403a7724 4015af81 40099a9b 40246263 40222e63 403d70e5 3feb66af 
3fdcadc3 3ff091c8 3fcccbea 3fb0437a 3fe85d01 3ff4c342 3fb12c84 3f935eb4 

3f4aa4b8 3fa7f070 3faedc9e 3ff6a978 3fff8572 4010ac27 3ffd524c 3fe30cf5 
3f494a83 3fcaf124 3f865081 3fa42a72 3fb2cb36 400fc92f 3ff6a5e9 3fe39bb6 
3f301f59 3ffc6616 40029363 3fe5a0e4 3fc7d567 400ecadc 4017362d 40123f86 
3f66e478 3fd65fcb 3ff854a1 3fdfe980 3ff3b82f 401a1a6a 3ff54d5e 3ff8e3ed 
3fb12915 402322b2 401fbc0a 40199537 3fde2531 401e7ff2 3fdab841 3fcd56f2 
3f73030c 3fede648 3fb49d56 3fd421ca 3fb66340 3ff12b09 3fdee0cf 3fce70dc 
3fc40598 40276f2e 3ff0fa22 3ff19911 3fd68ac0 4004d3fd 3ffdc8b0 3fa31907 
3eff157a 3fb208c1 3f663f87 3f5d86c1 3f731c95 3f85add7 3fbac613 3f3f8f7f 

3f13d920 3f3c25a0 3f965161 3fbc8c6d 3fb29f5f 3fa3e8e7 3fa2b52a 3f5bbf40 
3f8c18bc 3feff4ee 3fb1919d 3ff83bc9 3feb2d89 402f1597 3fd7068e 3fdbf67b 
3f52c082 3fff2984 3fa0dfbf 3fd4514d 3fc851b6 401b711f 400faf48 3fc6d4a2 
3f44ea34 3fa7a406 3fcb8731 3faf2e61 3fee7646 3fbd8f9f 3fec3a4e 3fd1d245 
3febc921 4015c38e 400b0f4d 4019fd07 3fc37232 4033e410 4003f19e 3fcedb88 
3f8ac26b 3ff37bb9 3fc6235b 400a16a0 3fe386e5 3ff82462 3fecc808 3f9488dd 
3fd7a984 401479bf 3fd8a3a3 3ff68ad1 3fa9e3ea 3fe6e647 3fbd943b 3f81f440 
3f32d067 3fcf4994 3f6cb84c 3f8a5e4c 3f9ba596 3fb123c7 4009f447 3f44c899 

3fd079cf 400bf3fb 400a30ac 4051f8ec 4052b2cf 406cf236 402d710b 402aba2f 
40115b5d 408e3222 40806f8b 409eae94 408752ea 40a217eb 4097bf84 4067204e 
404854f4 409681c3 40955c18 40b057af 40b23f24 40ab8144 40c1fed9 408a683e 
40695170 408215a8 4085a9f3 40899712 40a40c83 40a441c8 409f0065 40760877 
40814d69 40d0d5a9 40c7228d 40c0d2c6 40ad28e3 40d01b9f 40be0a66 409ad09e 
406bf76e 40a34295 4097349e 409f0e5c 40a8b0b4 40bbb154 40b10ce8 406e18ee 
4083b29b 40d20c51 40a4b3a8 40a991a5 409d59b4 409a45d4 408ff8bb 405b4498 
3fc4c84e 40573967 40140b18 3ffc455a 4038fc8a 40288029 405870ea 40269828 

3f913e1f 403ab9c1 4035c8d2 40667fd2 404e3f23 406e1101 4054199c 400175ab 
401de646 406a8478 4098233f 4098eabc 40abe8e9 40987d7f 40b1b81e 40498b81 
404877fd 405e7024 409078ea 408485ee 409204bb 40b07ae7 40a5712e 405e5ce0 
404b0294 4093e55c 40a928be 40988552 406f2515 40b0d966 40bb55ed 406f9f8e 
4069d085 40a98e54 40bb072f 40cb818d 40af8b25 40cb5232 40ba5de9 40823561 
406f7d66 40ba1d6c 409c307d 40aa0f13 40a74296 40aca463 40a46e6b 403bc8ca 
4064f342 40ab6d36 409dccb0 408f8f60 408bd5eb 408b144f 409e8609 40463507 
40486127 40571015 404423d2 403cf1c7 40490495 4061a375 40674a5d 4008fe7b 

400747fe 4056368d 40531d2f 4084e981 407e24ff 4092cb7b 407005b5 4020eed4 
4031c8b3 40649e97 40750ae3 40842ed4 40931e97 409849c4 40ade7e2 402fccc3 
4054ecbe 4061ece5 409c2de9 40911814 409d9ea1 40951986 40a9f80c 4069c6b2 
4087cb5e 40a41b17 409cd3ea 40a7120d 4090c398 40be2ecc 40b778cb 407c5d43 
408eb924 40b55702 40abd613 40c06258 40bd2c88 40ad66da 40b5c3cc 4063d431 
408cfeab 40a903b7 40966225 409e5172 409cb3af 409dc53e 4099d42b 4066553f 
408d16fe 40aef89b 408939ca 408b2741 40990155 408e2f39 40b3415f 40464bc2 
404afb03 40441eae 4044b67f 403176f6 404aed8e 40546b72 402ebab4 3fe6400c 

3fc0299c 401cc58a 4027ee1b 40509554 4075c550 40653cd7 4064d18b 4033211f 
400f003e 404d4637 405236e1 40593942 406ba7af 40903bf8 4081dd64 404357ad 
3feb6a13 4083f86d 40914d1a 408bf85c 408318f5 408d2eaf 4097c641 407eff49 
403e1325 4073688c 40948784 407f0e21 409f5946 409a44d3 40956d56 4070eaae 
4059a623 40af0dbf 40a26435 40a3e9ca 40925506 40bf0f29 408efd89 40718fec 
402845cd 409696f0 4089f58e 40842316 408eb3e3 408ef170 4093a6d0 40617605 
4066c690 409d00eb 40850db7 408bd8ca 4064b817 40917356 408bf0ef 402b169a 
3f9c2c52 404c6aee 400d53de 3fec399e 402254bc 400cea30 402af71e 3fec001c 

3f9823d9 3fc5be7c 3ff2218b 4012f506 40221d11 400b26a9 402346c1 3fcbb0d9 
40058d05 4044bd44 404b3596 40745a1d 407e094a 4093d140 4042caf9 40430640 
3fecfa72 408401b5 404a3fbb 4065ad72 405e48f0 408d1212 408e4c27 40455adf 
40102b61 4039d066 4071b0f8 406198cf 40902c61 404ec77f 407afb42 4051d4fc 
405e4743 4099d856 408539f8 4091b3ab 4085baeb 40b34c77 408646b9 4072ee22 
402e8281 4095b987 407987f2 408448b5 408c0e37 408d6f99 40931839 403ed6cf 
404a6380 408896a0 4083b138 40843bf9 404e9c58 40836c54 404e741a 40263a33 
3fe98f87 40666a54 3fec6e4f 4011b9dd 4035197b 401f16b4 40707bf9 4001eac7 

  8   8   8
0 0 0 0 0 0 0 0 0 0 
0 3f3eedf8 3f712820 3ed6507e 3ea81222 3f0918fa 3f2074ba 3ec5ec80 3f3ac150 0 
0 3f2785ce 3f34ac38 3ee8dda7 3f3ed3a5 3de232e7 3ec78d3d 3ec641c8 3f410cb7 0 
0 3f32dbc9 3e64fa69 3f1389e2 3f6620ca 3f3ad72c 3f631ef4 3f1b3f3b 3f617d58 0 
0 3efc95ee 3f18e18d 3f6e8caa 3f3681c1 3f5b3dd4 3ed061cf 3f78b4fe 3ebcad3d 0 
0 3ebea288 3f70e902 3eaf1039 3f022d96 3dd4b473 3edd3b31 3d7eb0ac 3f5b88a9 0 
0 3dc5f9ce 3e333630 3f75cbdc 3ecaf468 3f020777 3ef01e01 3c97188b 3edd57a2 0 
0 3f1c713a 3f1d3459 3f7e889f 3f51f34d 3e18c74d 3f410357 3f671f86 3f17998e 0 
0 3d603d57 3f1b23c7 3f5f88e3 3f656adb 3e3e14a8 3e4bec5d 3e40e66f 3f0769c2 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 3e7eaa0d 3f09c811 3e881196 3f33c2fb 3f01ad2b 3f68b7e0 3d0823e9 3f5a11cb 0 
0 3f112a74 3f294772 3c68466b 3f5c20cf 3f080ef1 3e96024c 3e5f69db 3f62e7f4 0 
0 3f1123c5 3f4032d0 3e9bbfbf 3e92f816 3f468874 3ef85c11 3f17039d 3e6506fd 0 
0 3e492265 3e467032 3e8276a8 3ecda637 3f3e819d 3f03f67d 3f4cabbc 3cb05ad0 0 
0 3d963e7d 3f513875 3f408fc3 3ee3d5e4 3e0415ef 3d9bc4e9 3efe9d0a 3eb9e7ce 0 
0 3f0391d7 3f289733 3f4d51e2 3ef532f6 3ede2305 3e5ef4f8 3f68b1b1 3e2dc4e3 0 
0 3f11d9cb 3f79b87a 3f24dbc2 3e12b186 3f28a58e 3ef3baf5 3dbe207c 3f29de13 0 
0 3f6fa3c4 3e58bdf3 3e08b479 3f4bf3be 3f07e896 3efedf14 3ea47225 3ebb8edf 0 
0 0 0 0 0 0 0 0 0 0 

3df53287 3e7ceb9e 3f012800 
3ee70395 3f05a441 3f48afe0 
3c4add5d 3f7b63bb 3ecbf94d 

3e3c2282 3ec4190e 3db3a2d2 
3f7dcb84 3edd732d 3e7deb26 
3ead92a8 3e434a17 3f550f8b 

3ef8ae72 3e63b0ef 3f11ff0c 
3f17f610 3f304981 3eb70edf 
3f77b3c6 3c9288e0 3f45dff5 

3eb544c9 3f783830 3f3bdfb9 
3f0a7f31 3e1f7ba8 3f6fc47b 
3f69a87e 3eee5530 3ec35402 

3e797bec 3f66fd40 3eaee9a0 
3f7c587d 3e35b87b 3cc9ae23 
3f141738 3e927953 3e1e1158 

3f577667 3d990296 3e283881 
3f69d6c1 3e3ea59c 3f26503b 
3ea39015 3f27a4e8 3f6b0feb 

3f39313a 3ef40caf 3dc31b1b 
3f341681 3f02d8e9 3f242626 
3f68abfb 3f5df635 3f0dd906 

3f18af9f 3e4bde60 3de39155 
3f4d2a49 3edce36c 3efcfb2b 
3f0a0be1 3e254009 3f1468ca 

3f3ed538 3ded9a06 3f233aa3 
3e486a43 3c17e229 3d973af4 
3e317a99 3f04d5c5 3ed9fcb8 

3ed8ce44 3e5189da 3f21ae46 
3f244909 3efa39bf 3f698bd7 
3f621ce7 3dd6455b 3dc52933 

40034d38 40027b0e 3fd39ca8 3fc7e529 3f989361 3fb482de 3fdef99c 3fa678f8 
401516dc 4000b7bd 401cb9e0 4010d451 401130c3 4005ee18 401dc4d5 3fd56a84 
3fe3d99e 4015194d 4038b180 402981e8 4033a98e 4017ae47 40424df4 3fab83de 
3fe034ba 40309a57 401f3210 402ac3ae 4006a36f 401b1798 4005a3e6 3fe1c2f3 
3fc28bb6 400a3643 4031063a 3fe98514 3fe85623 3fbe88bd 3fc903f7 3f8dccef 
3fccb0ab 4016020a 4029f08f 4008995e 3fc95f55 3fded56c 400c44b6 3f85e1f5 
3f9a9870 4036f33a 40479f74 401b5dfa 3fdc50a9 3fd0529f 3ff9f2c8 3fac7294 
3f76e352 3fe04306 400a89ce 3fb3bced 3f961dfd 3f7eb618 3f9b817a 3f1d90ad 

3fa25929 3ffe2817 40092282 3f89fcad 3fa7c2c1 3faa7c63 3fe6cae6 3f794ea3 
3f92a52a 401711fd 40182585 4001921a 4018b666 3fd57a06 400dec93 3fb78ed7 
3fa17195 401ad6fd 400257d7 402bcf27 40189437 4028d024 4011ae66 3fdef292 
3fc05e81 3feaa879 40147a8d 401083ea 401027e9 3ffb3088 40109e15 3fe0c259 
3f4cc09b 40082554 4013bd44 3ff6c446 3fe2df9e 3f7b0ecb 3fd5af0a 3f574436 
3f701f73 40014b5a 40076abf 40088d04 3feac1e6 3fec6289 3fd6ef20 3f76d1fa 
3f7bd839 40097663 4032dbf4 4017c884 3ff06215 3f9d74f9 3ffad4a5 3fbe10c2 
3eec79f2 3f77b3e5 3fe21472 3fe792bf 3fa5624c 3f365573 3f7241f6 3f4ee7a9 

3fb42c7d 400f423c 400ed8a7 3f9a35f5 3fe7f6ed 3fa682b2 3feed94e 3f8f5ba0 
3fcbb1b4 403e4518 402a1c3e 4022b5d3 4037329c 40121ef4 4047f22e 3fd9cf88 
3fca2c84 402de68c 403765c2 404fe04d 403ed912 404d6034 402a4812 40113596 
3fc8fb02 40195e28 4053da68 402aa81e 4045d5ed 400c26e9 404c51a0 3fb2bbdb 
3f970e9b 402ef8aa 4017d8df 40412f37 40035090 3ffa5fea 4001277c 3f9a795b 
3f9dfa21 401e885e 403e72e2 401d1d5c 40297c74 3fd59888 401727db 3fb4f38d 
3f9d93d9 4020d985 404a5887 4043a33f 401d35fe 3fcf773c 40175125 3f9ec999 
3f3d8edb 3fe19636 40112ee2 3ff9e0c6 3fcbd656 3f88eaca 3fabbdad 3f85ebb6 

3fc9412e 4002a8e2 40017114 3fcaad0d 3fdd3f8d 3f96f567 3ff3ff31 3f837b98 
4025a0b7 4055843e 403c91c8 402312a2 40584c5f 4037fa17 406268a9 40089e49 
3ff6cdc4 40524fa3 4062a62c 4066feb8 4052b9be 40493660 405b8e0f 4019134b 
4000a449 4041cc9c 4069531c 40677c38 40504b58 405479fe 4041004a 4006e424 
3ffbdf15 40291310 405bd1b5 40510227 4036b1c5 4012039c 40404d22 3f8b1395 
3fdfea9f 405fce23 403f54e5 4045fa4f 401bebde 3fd95941 4035a8f5 4001f3cd 
3f9317d7 403b98e6 4075ca9d 404bfdae 404858a7 4001a6b6 4004d642 3fb656e4 
3fcf4574 401eeddb 40458990 4002b8af 3fd823a4 3fe08d18 400d66e9 3f89ffe2 

3ee744ac 3fc81a78 3fd50a58 3f7a39fe 3f74fee0 3f624100 3f9419dd 3f73434d 
3fae6be8 4020d984 3ff939d1 3fef1000 401a0d25 3fe483ee 4002df3d 3fef7442 
3f98e0fa 4012d4e4 3ff3b300 401c4872 400b040b 400a86de 4011aad9 400c8fd5 
3f87c950 3fdc590d 4017ed8d 40281532 401be6b8 40146c9b 4003029a 400fcc76 
3f4b0631 3fe312f2 402abcc6 4015c17e 400404f3 3fc27560 3ff39644 3f6ac20c 
3f72d2a5 3ff1d43a 3fea4bf6 401c2452 3fbedd3c 3fbb2787 3fdbb27d 3fc9aa01 
3ec27340 3fcae5ab 40257171 402bcfbf 400aee67 3f865db9 3fb941f5 3fd32fb3 
3f492b7c 3f9ce207 40067bc0 4003ae8a 3fc1b11c 3f9fbf6f 3fb8c06c 3f845544 

3fafee55 3f904894 4000788c 3fe10cf9 400df4a2 3f9b9632 401c2da0 3f56ce7e 
3fd9f564 3ff2a1a4 401d3085 3feffd69 403976cf 40127744 4022725d 3f4a7485 
3f8682b6 3fe76904 400e6bf7 4001afb8 4027d2a7 403fc4c2 3fe84895 3f8cc723 
3f903545 400dab55 40165d0b 3fec49e9 3fc20cac 40283b44 3fe72f1e 3fd272fc 
3fc424c5 4010ba62 402657df 400c12ea 3fcc31ab 40177d8c 3fdb9bab 3fcc865f 
3ff74d50 403161d0 402f9e1d 402c845e 3ffc3ccc 3fea5557 3fbb0c75 3fe2c803 
3fd8cc8b 4012d33e 402bbd50 40381d97 4005f826 40049a96 3fef1900 3faa0d90 
3f03bd0b 3fd1d72f 3fd07034 3fa35748 3fb2f01b 3fb21e50 3fa27160 3efa8459 

3faa462d 3fdbc6f1 40037bd4 3ff637e5 402f6371 3fd9a216 40098d76 3fb6790e 
3fe54684 4022b8df 402d8ef2 401483db 40468f89 403acc85 402de0a4 3fe221e1 
3fb0ea4f 400c4b7a 40037a1c 401489e4 4046f245 40521ba5 40170d0b 3fed6df0 
